trial_id,frame_index,interval_s,suspected_dropped
0,0,0.016593500000453787,False
0,1,0.01670245833338413,False
0,2,0.01662949999990815,False
0,3,0.016649333332679817,False
0,4,0.016681041666743113,False
0,5,0.016663250000419794,False
0,6,0.01677462499901594,False
0,7,0.016625500000372995,False
0,8,0.016602749999947264,False
0,9,0.01666766666676267,False
0,10,0.01664695833278529,False
0,11,0.01679254166811006,False
0,12,0.016632249999020132,False
0,13,0.016686166667568614,False
0,14,0.01657708333186747,False
0,15,0.016646125000988832,False
0,16,0.016716916667064652,False
0,17,0.016616458333373885,False
0,18,0.016778458333646995,False
0,19,0.016637166665532277,False
0,20,0.016875458333743154,False
0,21,0.0163990000000922,False
0,22,0.01663354166703357,False
0,23,0.016687208331859438,False
0,24,0.016652916667226236,False
0,25,0.016784083332822775,False
0,26,0.016686958333593793,False
0,27,0.01654683333435969,False
0,28,0.01673254166598781,False
0,29,0.01666391666731215,False
0,30,0.01658829166626674,False
0,31,0.016664916665831697,False
0,32,0.016660291666994453,False
0,33,0.016691750000973116,False
0,34,0.016638166665870813,False
0,35,0.016670375000103377,False
0,36,0.016675666667651967,False
0,37,0.01666908333208994,False
0,38,0.016638291666822624,False
0,39,0.0167085416669579,False
0,40,0.01672508333285805,False
0,41,0.0166899583346094,False
0,42,0.016639666666378616,False
0,43,0.016645458332277485,False
0,44,0.016666541667291312,False
0,45,0.016662874999383348,False
0,46,0.01662091666730703,False
0,47,0.016675374999977066,False
0,48,0.016665875000398955,False
0,49,0.016652958332997514,False
0,50,0.016671666666297824,False
0,51,0.016665208333506598,False
0,52,0.016672458334141993,False
0,53,0.016670708331730566,False
0,54,0.016644666668071295,False
0,55,0.016661249999742722,False
0,56,0.01666737499908777,False
0,57,0.01667670833376178,False
0,58,0.01666533333445841,False
0,59,0.016653458333166782,False
0,60,0.016666208332026144,False
0,61,0.016680333334079478,False
0,62,0.016616875000181608,False
0,63,0.016697333332558628,False
0,64,0.016643916667817393,False
0,65,0.01664787499976228,False
0,66,0.016800791665446013,False
0,67,0.01656304166681366,False
0,68,0.01664770833303919,False
0,69,0.01665504166703613,False
0,70,0.016676125000230968,False
0,71,0.01666129166733299,False
0,72,0.016683083333191462,False
0,73,0.01667362499938463,False
0,74,0.016648916667691083,False
0,75,0.016658749998896383,False
0,76,0.01667237500078045,False
0,77,0.016688374998921063,False
0,78,0.01664600000003702,False
0,79,0.016651583333441522,False
0,80,0.016637791666653357,False
0,81,0.016878541668120306,False
0,82,0.01662495833261346,False
0,83,0.016685250000591623,False
0,84,0.01665787499950966,False
0,85,0.016663833333950606,False
0,86,0.016661333333104267,False
0,87,0.016649874998620362,False
0,88,0.01669779166695662,False
0,89,0.016648416667521815,False
0,90,0.01667549999910989,False
0,91,0.016659375000017462,False
0,92,0.016663083333696704,False
0,93,0.016676291666954057,False
0,94,0.01665583333306131,False
0,95,0.016653750000841683,False
0,96,0.01668437499938591,False
0,97,0.01665908333234256,False
0,98,0.016661166668200167,False
0,99,0.01670554166594229,False
0,100,0.016674333333867253,False
0,101,0.016653374999805237,False
0,102,0.01668591666566499,False
0,103,0.016652041667839512,False
0,104,0.01666145833223709,False
0,105,0.016664208333168062,False
0,106,0.016683541667589452,False
0,107,0.016642958333250135,False
0,108,0.016683833333445364,False
0,109,0.01667904166606604,False
0,110,0.01660466666726279,False
0,111,0.016685833332303446,False
0,112,0.016670208333380288,False
0,113,0.016672125000695814,False
0,114,0.016643124999973224,False
0,115,0.016653583334118593,False
0,116,0.016661666666550445,False
0,117,0.01666829166606476,False
0,118,0.016678666666848585,False
0,119,0.016701624999768683,False
0,120,0.01664037500086124,False
0,121,0.016659625000102096,False
0,122,0.01667766666651005,False
0,123,0.016657791666148114,False
0,124,0.016659499999150285,False
0,125,0.016659666667692363,False
0,126,0.016681666666045203,False
0,127,0.01664566666659084,False
0,128,0.016666999999870313,False
0,129,0.01666333333378134,False
0,130,0.016675875000146334,False
0,131,0.01666629166720668,False
0,132,0.016685208333001356,False
0,133,0.016647750000629458,False
0,134,0.016667291665726225,False
0,135,0.016658874999848194,False
0,136,0.016683958334397175,False
0,137,0.016659166665704106,False
0,138,0.016658374999678927,False
0,139,0.016652291667924146,False
0,140,0.01666629166538769,False
0,141,0.016689541667801677,False
0,142,0.016674916665579076,False
0,143,0.01665412500005914,False
0,144,0.022633458333075396,False
0,145,0.010707916666433448,False
0,146,0.01665970833346364,False
0,147,0.016677458334015682,False
0,148,0.016680374999850756,False
0,149,0.01662883333301579,False
0,150,0.016684791668012622,False
0,151,0.016659958331729285,False
0,152,0.01666487500006042,False
0,153,0.016660125000271364,False
0,154,0.016674500000590342,False
0,155,0.016656833333399845,False
0,156,0.016661708332321723,False
0,157,0.016656416666592122,False
0,158,0.01666504166678351,False
0,159,0.016726833333450486,False
0,160,0.016660083334500086,False
0,161,0.01667283333335945,False
0,162,0.01665908333234256,False
0,163,0.0166615833331889,False
0,164,0.016669500000716653,False
0,165,0.016664999999193242,False
0,166,0.016656083333145943,False
0,167,0.016671000001224456,False
0,168,0.016696583332304726,False
0,169,0.016636666667182,False
0,170,0.016660125000271364,False
0,171,0.016669791666572564,False
0,172,0.016669333333993563,False
0,173,0.016664499999023974,False
