trial_id,target_frequency_hz,command,trial_status,cue_start_monotonic_s,stimulus_start_monotonic_s,stimulus_end_monotonic_s,rest_start_monotonic_s,requested_frequency_hz,estimated_frequency_hz,measured_refresh_rate_hz,refresh_rate_source,planned_frame_count,actual_frame_count,dropped_frame_count,max_frame_interval_s,mean_frame_interval_s
0,8.0,LEFT,completed,13837.676177041,13838.705040791,13842.70499325,13842.70499325,8.0,7.999340387726096,59.99505290794572,measured,240,240,0,0.022633458333075396,0.01666617997924962
1,10.0,RIGHT,completed,13844.705119541,13845.738320833,13849.738295,13849.738295,10.0,9.99917548465762,59.99505290794572,measured,240,240,0,0.020131500001298264,0.01666654443291752
2,12.0,FORWARD,aborted,13851.738411,13852.771672333,,,12.0,11.999010581589143,59.99505290794572,measured,240,59,1,0.19244879166762985,0.019644964689285775
2,12.0,FORWARD,aborted,13855.75506175,13856.788267291,,,12.0,11.999010581589143,59.99505290794572,measured,240,92,1,0.03517391666537151,0.016867243659421743
